Abbr, Paper, City, State
WI_WSJ,Wisconsin State Journal,Madison,WI
WI_MJS,Milwaukee Journal Sentinel,Milwaukee,WI
WI_WDH,Wausau Daily Herald,Wausau,WI
WI_SPJ,Stevens Point Journal,Stevens Point,WI
DC_WP,Washington Post,Washington,DC
NY_NYT,New York Times,New York,NY
IL_CT,Chicago Tribune,Chicago,IL
MN_ST,Star Tribune,Minneapolis,MN
MI_DFP,Detroit Free Press,Detroit,MI
MI_LSJ,Lansing State Journal,Lansing,MI
IN_IS,Indianapolis Star,Indianapolis,IN
IA_DR,Des Moines Register,Des Moines,IA
CA_LAT,Los Angeles Times,Los Angeles,CA
LA_NOA,New Orleans Advocate,New Orleans,LA
WI_PC,Post Crescent,Appleton,WI
WI_BNR,Baraboo News Republic,Baraboo,WI
WI_BDDC,Beaver Dam Daily Citizen,Beaver Dam,WI
WI_CH,Chippewa Herald,Chippewa Falls,WI
WI_LT,Leader Telegram,Eau Claire,WI
WI_TR,The Reporter,Fond du Lac,WI
WI_GBP,Green Bay Press-Gazette, Green Bay,WI
WI_JG,Janesville Gazette,Janesville,WI
CAN_TS,Toronto Star,Toronto,ON
WI_LCT,La Crosse Tribune,La Crosse,WI
WI_DT,Daily Tribune,Wisconsin Rapids,WI
WI_HTR,Herald Times Reporter,Manitowoc,WI
WI_MNH,Marshfield News Herald,Marshfield,WI
WI_ON,Oshkosh Northwestern,Oshkosh,WI
WI_PDR,Portage Daily Register,Portage,WI
WI_SP,Sheboygan Press,Sheboygan,WI
